Rank,Title,Language,Lexical,Semantic,Fuzzy,Final Score,Relevant
1,আন্তর্জাতিক ক্রিকেটে সবচেয়ে বেশি ক্যাচ নিয়েছেন কে,bangla,0.000,1.000,0.000,0.600,✓
2,টেস্টে সবচেয়ে বেশি ছক্কা কোন ৫ জনের,bangla,0.000,0.885,0.000,0.531,✓
3,Jaiswal's maiden ODI century completes India's series win over South Africa,english,0.000,0.798,0.000,0.479,✗
4,মিডিয়া কাপ ক্রিকেটের কোয়ার্টার ফাইনালে সমকাল,bangla,0.000,0.776,0.000,0.465,✗
5,স্বদেশি তারকাকে পেছনে ফেলে গ্রিনের রেকর্ড,bangla,0.000,0.711,0.000,0.427,✗
6,আন্তর্জাতিক ক্রিকেটে সবচেয়ে বেশি সেঞ্চুরি,bangla,0.000,0.676,0.000,0.406,✗
7,‘লিটল স্টার’ চ্যাম্পিয়ন হলো কে?,bangla,1.000,0.000,0.000,0.400,✗
8,কামিন্সকে ড্রেসিংরুমের পথ দেখিয়ে শাস্তি পেলেন সিলস,bangla,0.000,0.661,0.000,0.396,✗
9,ক্যারির সেঞ্চুরির পর ইংল্যান্ডকে ভোগাচ্ছেন ব্যাটার স্টার্ক,bangla,0.823,0.081,0.000,0.378,✓
10,অ্যাডিলেড টেস্ট: ক্যারির সেঞ্চুরিতে প্রথম দিন অস্ট্রেলিয়ার,bangla,0.267,0.427,0.000,0.363,✗
