query_id,query_text,doc_id,doc_title,doc_url,language,method,rank,relevant,confidence,annotator,notes
q001,climate change Bangladesh,171831_5c54d7c8,Climate Change and Health Impacts – An Economic Case for Investment in Bangladesh,https://unb.com.bd/category/Opinion/climate-change-and-health-impacts-an-economic-case-for-investment-in-bangladesh/171831,english,bm25,1,,,,
q001,climate change Bangladesh,170034_85caa312,Bangladesh’s Coastal Fishers: Trapped by Debt and Climate Change,https://unb.com.bd/category/Opinion/bangladeshs-coastal-fishers-trapped-by-debt-and-climate-change/170034,english,bm25,2,,,,
q001,climate change Bangladesh,174644_ad8daac3,"Top 10 Bulletproof Cars For 2025-26: Specs, Price, and Features",https://unb.com.bd/category/Lifestyle/top-10-bulletproof-cars-for-2025-26-specs-price-and-features/174644,english,bm25,3,,,,
q001,climate change Bangladesh,171831_5c54d7c8,Climate Change and Health Impacts – An Economic Case for Investment in Bangladesh,https://unb.com.bd/category/Opinion/climate-change-and-health-impacts-an-economic-case-for-investment-in-bangladesh/171831,english,tfidf,1,,,,
q001,climate change Bangladesh,170034_85caa312,Bangladesh’s Coastal Fishers: Trapped by Debt and Climate Change,https://unb.com.bd/category/Opinion/bangladeshs-coastal-fishers-trapped-by-debt-and-climate-change/170034,english,tfidf,2,,,,
q001,climate change Bangladesh,174644_ad8daac3,"Top 10 Bulletproof Cars For 2025-26: Specs, Price, and Features",https://unb.com.bd/category/Lifestyle/top-10-bulletproof-cars-for-2025-26-specs-price-and-features/174644,english,tfidf,3,,,,
q001,climate change Bangladesh,171831_5c54d7c8,Climate Change and Health Impacts – An Economic Case for Investment in Bangladesh,https://unb.com.bd/category/Opinion/climate-change-and-health-impacts-an-economic-case-for-investment-in-bangladesh/171831,english,semantic,1,,,,
q001,climate change Bangladesh,170034_85caa312,Bangladesh’s Coastal Fishers: Trapped by Debt and Climate Change,https://unb.com.bd/category/Opinion/bangladeshs-coastal-fishers-trapped-by-debt-and-climate-change/170034,english,semantic,2,,,,
q001,climate change Bangladesh,175160_10dac28f,‘Unhealthy’ air quality persists in Dhaka,https://unb.com.bd/category/Environment/unhealthy-air-quality-persists-in-dhaka/175160,english,semantic,3,,,,
q001,climate change Bangladesh,2b69f8e0238925ff,"আবার শৈত্যপ্রবাহ ৩ জেলায়, রাজধানীতেও কমল তাপমাত্রা",https://www.prothomalo.com/bangladesh/environment/vka8bg7iwz,bangla,semantic,4,,,,
q001,climate change Bangladesh,169780_d7ffa168,How Should China and Bangladesh Conduct Economic Cooperation?,https://unb.com.bd/category/Opinion/how-should-china-and-bangladesh-conduct-economic-cooperation/169780,english,semantic,5,,,,
q001,climate change Bangladesh,5559c22ca4e937c3,"বায়ুদূষণে বিশ্বের ১১৯ শহরের মধ্যে দ্বিতীয় ঢাকা, পাশের শহরটির দূষণ আরও বেশি",https://www.prothomalo.com/bangladesh/environment/oxchbkoz4a,bangla,semantic,6,,,,
q001,climate change Bangladesh,0970981004997808,বায়ুদূষণে বাংলাদেশে ভয়ংকর হচ্ছে ডেঙ্গু,https://www.prothomalo.com/bangladesh/hoy5hli9p5,bangla,semantic,7,,,,
q001,climate change Bangladesh,1218c68fcd3f7d74,"শীতকাল ছোট হচ্ছে, ৭০ বছর পর কেমন হবে",https://www.prothomalo.com/bangladesh/environment/sq04nmv8ck,bangla,semantic,8,,,,
q001,climate change Bangladesh,40971c001892a3bb,"ছুটির দিনে ভয়ানক বায়ুদূষণ ঢাকায়, ৯ স্থানে দূষণ অনেক বেশি",https://www.prothomalo.com/bangladesh/environment/hucnp16rgw,bangla,semantic,9,,,,
q001,climate change Bangladesh,175379_30a7d50f,Bangladesh must avoid return to fascism: Moyeen Khan,https://unb.com.bd/category/Politics/bangladesh-must-avoid-return-to-fascism-moyeen-khan/175379,english,semantic,10,,,,
q001,climate change Bangladesh,1218c68fcd3f7d74,"শীতকাল ছোট হচ্ছে, ৭০ বছর পর কেমন হবে",https://www.prothomalo.com/bangladesh/environment/sq04nmv8ck,bangla,hybrid,1,,,,
q001,climate change Bangladesh,171831_5c54d7c8,Climate Change and Health Impacts – An Economic Case for Investment in Bangladesh,https://unb.com.bd/category/Opinion/climate-change-and-health-impacts-an-economic-case-for-investment-in-bangladesh/171831,english,hybrid,2,,,,
q001,climate change Bangladesh,170034_85caa312,Bangladesh’s Coastal Fishers: Trapped by Debt and Climate Change,https://unb.com.bd/category/Opinion/bangladeshs-coastal-fishers-trapped-by-debt-and-climate-change/170034,english,hybrid,3,,,,
q001,climate change Bangladesh,0970981004997808,বায়ুদূষণে বাংলাদেশে ভয়ংকর হচ্ছে ডেঙ্গু,https://www.prothomalo.com/bangladesh/hoy5hli9p5,bangla,hybrid,4,,,,
q001,climate change Bangladesh,71fbc0763fd68cf6,"সপ্তাহের প্রথম কর্মদিবসের সকালে বায়ুদূষণের শীর্ষে ঢাকা, ভয়ানক দূষণ ৪ স্থানে",https://www.prothomalo.com/bangladesh/environment/gryqmneozy,bangla,hybrid,5,,,,
q001,climate change Bangladesh,5559c22ca4e937c3,"বায়ুদূষণে বিশ্বের ১১৯ শহরের মধ্যে দ্বিতীয় ঢাকা, পাশের শহরটির দূষণ আরও বেশি",https://www.prothomalo.com/bangladesh/environment/oxchbkoz4a,bangla,hybrid,6,,,,
q001,climate change Bangladesh,bb36e51a49feb448,"বায়ুদূষণে আজও শীর্ষে ঢাকা, বড় দূষণের নগর দিল্লি ও লাহোরের অবস্থান কোথায়",https://www.prothomalo.com/bangladesh/environment/scqaquibhj,bangla,hybrid,7,,,,
q001,climate change Bangladesh,337929_6c6c8931,ঢাকায় পানিদূষণ কমাতে ৩৭ কোটি ডলার ঋণ দিচ্ছে বিশ্বব্যাংক,https://samakal.com/economics/article/337929/%E0%A6%A2%E0%A6%BE%E0%A6%95%E0%A6%BE%E0%A7%9F-%E0%A6%AA%E0%A6%BE%E0%A6%A8%E0%A6%BF%E0%A6%A6%E0%A7%82%E0%A6%B7%E0%A6%A3-%E0%A6%95%E0%A6%AE%E0%A6%BE%E0%A6%A4%E0%A7%87-%E0%A7%A9%E0%A7%AD-%E0%A6%95%E0%A7%8B%E0%A6%9F%E0%A6%BF-%E0%A6%A1%E0%A6%B2%E0%A6%BE%E0%A6%B0-%E0%A6%8B%E0%A6%A3-%E0%A6%A6%E0%A6%BF%E0%A6%9A%E0%A7%8D%E0%A6%9B%E0%A7%87-%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%AC%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%82%E0%A6%95,bangla,hybrid,8,,,,
q001,climate change Bangladesh,430931_5d0a83f7,"সপ্তাহ জুড়ে বাড়বে গরম, আবহাওয়া থাকবে শুষ্ক",https://www.dhakapost.com/national/430931,bangla,hybrid,9,,,,
q001,climate change Bangladesh,e72ca114f66c17b3,"ঢাকার ৪ স্থানে মাত্রাতিরিক্ত বায়ুদূষণ, রাজধানীজুড়ে ‘খুব অস্বাস্থ্যকর’ বায়ু",https://www.prothomalo.com/bangladesh/environment/xfc0r6tmks,bangla,hybrid,10,,,,
q002,COVID-19 pandemic Bangladesh,0970981004997808,বায়ুদূষণে বাংলাদেশে ভয়ংকর হচ্ছে ডেঙ্গু,https://www.prothomalo.com/bangladesh/hoy5hli9p5,bangla,semantic,1,,,,
q002,COVID-19 pandemic Bangladesh,768945_d8b23a41,তীব্র ঠান্ডায় হাসপাতালে বাড়ছে শিশু রোগী,https://www.ittefaq.com.bd/768945/%E0%A6%A4%E0%A7%80%E0%A6%AC%E0%A7%8D%E0%A6%B0-%E0%A6%A0%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A1%E0%A6%BE%E0%A7%9F-%E0%A6%B9%E0%A6%BE%E0%A6%B8%E0%A6%AA%E0%A6%BE%E0%A6%A4%E0%A6%BE%E0%A6%B2%E0%A7%87-%E0%A6%AC%E0%A6%BE%E0%A7%9C%E0%A6%9B%E0%A7%87-%E0%A6%B6%E0%A6%BF%E0%A6%B6%E0%A7%81-%E0%A6%B0%E0%A7%8B%E0%A6%97%E0%A7%80,bangla,semantic,2,,,,
q002,COVID-19 pandemic Bangladesh,171831_5c54d7c8,Climate Change and Health Impacts – An Economic Case for Investment in Bangladesh,https://unb.com.bd/category/Opinion/climate-change-and-health-impacts-an-economic-case-for-investment-in-bangladesh/171831,english,semantic,3,,,,
q002,COVID-19 pandemic Bangladesh,338385_398fc349,"স্বাস্থ্যখাত সংস্কারের প্রত্যাশা, ইশতেহার বাস্তবায়নের আহ্বান ড্যাবের",https://samakal.com/bangladesh/article/338385/%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A7%8D%E0%A6%AF%E0%A6%96%E0%A6%BE%E0%A6%A4-%E0%A6%B8%E0%A6%82%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A7%87%E0%A6%B0-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B6%E0%A6%BE-%E0%A6%87%E0%A6%B6%E0%A6%A4%E0%A7%87%E0%A6%B9%E0%A6%BE%E0%A6%B0-%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%AC%E0%A6%BE%E0%A7%9F%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%86%E0%A6%B9%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%A8-%E0%A6%A1%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AC%E0%A7%87%E0%A6%B0,bangla,semantic,4,,,,
q002,COVID-19 pandemic Bangladesh,40971c001892a3bb,"ছুটির দিনে ভয়ানক বায়ুদূষণ ঢাকায়, ৯ স্থানে দূষণ অনেক বেশি",https://www.prothomalo.com/bangladesh/environment/hucnp16rgw,bangla,semantic,5,,,,
q002,COVID-19 pandemic Bangladesh,c769e3251090f567,ছুটির দিনের সকালেও বায়ুদূষণে বিশ্বে দ্বিতীয় ঢাকা,https://www.prothomalo.com/bangladesh/environment/in117jen3u,bangla,semantic,6,,,,
q002,COVID-19 pandemic Bangladesh,5559c22ca4e937c3,"বায়ুদূষণে বিশ্বের ১১৯ শহরের মধ্যে দ্বিতীয় ঢাকা, পাশের শহরটির দূষণ আরও বেশি",https://www.prothomalo.com/bangladesh/environment/oxchbkoz4a,bangla,semantic,7,,,,
q002,COVID-19 pandemic Bangladesh,175379_30a7d50f,Bangladesh must avoid return to fascism: Moyeen Khan,https://unb.com.bd/category/Politics/bangladesh-must-avoid-return-to-fascism-moyeen-khan/175379,english,semantic,8,,,,
q002,COVID-19 pandemic Bangladesh,bb36e51a49feb448,"বায়ুদূষণে আজও শীর্ষে ঢাকা, বড় দূষণের নগর দিল্লি ও লাহোরের অবস্থান কোথায়",https://www.prothomalo.com/bangladesh/environment/scqaquibhj,bangla,semantic,9,,,,
q002,COVID-19 pandemic Bangladesh,71fbc0763fd68cf6,"সপ্তাহের প্রথম কর্মদিবসের সকালে বায়ুদূষণের শীর্ষে ঢাকা, ভয়ানক দূষণ ৪ স্থানে",https://www.prothomalo.com/bangladesh/environment/gryqmneozy,bangla,semantic,10,,,,
q002,COVID-19 pandemic Bangladesh,932539_619cdbb7,রফতানি বাজার হারানোর ঝুঁকিতে বাংলাদেশ,https://www.banglatribune.com/business/news/932539/%E0%A6%B0%E0%A6%AB%E0%A6%A4%E0%A6%BE%E0%A6%A8%E0%A6%BF-%E0%A6%AC%E0%A6%BE%E0%A6%9C%E0%A6%BE%E0%A6%B0-%E0%A6%B9%E0%A6%BE%E0%A6%B0%E0%A6%BE%E0%A6%A8%E0%A7%8B%E0%A6%B0-%E0%A6%9D%E0%A7%81%E0%A6%81%E0%A6%95%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6,bangla,hybrid,1,,,,
q002,COVID-19 pandemic Bangladesh,430329_292d0d2a,লাইভতিন আসনের ফল ঘোষণা স্থগিত রাখবে নির্বাচন কমিশন,https://www.dhakapost.com/national/430329,bangla,hybrid,2,,,,
q002,COVID-19 pandemic Bangladesh,338310_a3325c79,বাংলাদেশের সঙ্গে সম্পর্কের নতুন অধ্যায় রচনার আশা চীনের,https://samakal.com/bangladesh/article/338310/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87%E0%A6%B0-%E0%A6%B8%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A7%87-%E0%A6%B8%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%B0%E0%A7%8D%E0%A6%95%E0%A7%87%E0%A6%B0-%E0%A6%A8%E0%A6%A4%E0%A7%81%E0%A6%A8-%E0%A6%85%E0%A6%A7%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A7%9F-%E0%A6%B0%E0%A6%9A%E0%A6%A8%E0%A6%BE%E0%A6%B0-%E0%A6%86%E0%A6%B6%E0%A6%BE-%E0%A6%9A%E0%A7%80%E0%A6%A8%E0%A7%87%E0%A6%B0,bangla,hybrid,3,,,,
q002,COVID-19 pandemic Bangladesh,768945_d8b23a41,তীব্র ঠান্ডায় হাসপাতালে বাড়ছে শিশু রোগী,https://www.ittefaq.com.bd/768945/%E0%A6%A4%E0%A7%80%E0%A6%AC%E0%A7%8D%E0%A6%B0-%E0%A6%A0%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A1%E0%A6%BE%E0%A7%9F-%E0%A6%B9%E0%A6%BE%E0%A6%B8%E0%A6%AA%E0%A6%BE%E0%A6%A4%E0%A6%BE%E0%A6%B2%E0%A7%87-%E0%A6%AC%E0%A6%BE%E0%A7%9C%E0%A6%9B%E0%A7%87-%E0%A6%B6%E0%A6%BF%E0%A6%B6%E0%A7%81-%E0%A6%B0%E0%A7%8B%E0%A6%97%E0%A7%80,bangla,hybrid,4,,,,
q002,COVID-19 pandemic Bangladesh,71fbc0763fd68cf6,"সপ্তাহের প্রথম কর্মদিবসের সকালে বায়ুদূষণের শীর্ষে ঢাকা, ভয়ানক দূষণ ৪ স্থানে",https://www.prothomalo.com/bangladesh/environment/gryqmneozy,bangla,hybrid,5,,,,
q002,COVID-19 pandemic Bangladesh,5559c22ca4e937c3,"বায়ুদূষণে বিশ্বের ১১৯ শহরের মধ্যে দ্বিতীয় ঢাকা, পাশের শহরটির দূষণ আরও বেশি",https://www.prothomalo.com/bangladesh/environment/oxchbkoz4a,bangla,hybrid,6,,,,
q002,COVID-19 pandemic Bangladesh,bb36e51a49feb448,"বায়ুদূষণে আজও শীর্ষে ঢাকা, বড় দূষণের নগর দিল্লি ও লাহোরের অবস্থান কোথায়",https://www.prothomalo.com/bangladesh/environment/scqaquibhj,bangla,hybrid,7,,,,
q002,COVID-19 pandemic Bangladesh,338279_b88148d5,প্রধানমন্ত্রী হচ্ছেন তারেক রহমান,https://samakal.com/politics/article/338279/%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A7%E0%A6%BE%E0%A6%A8%E0%A6%AE%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A7%80-%E0%A6%B9%E0%A6%9A%E0%A7%8D%E0%A6%9B%E0%A7%87%E0%A6%A8-%E0%A6%A4%E0%A6%BE%E0%A6%B0%E0%A7%87%E0%A6%95-%E0%A6%B0%E0%A6%B9%E0%A6%AE%E0%A6%BE%E0%A6%A8,bangla,hybrid,8,,,,
q002,COVID-19 pandemic Bangladesh,e72ca114f66c17b3,"ঢাকার ৪ স্থানে মাত্রাতিরিক্ত বায়ুদূষণ, রাজধানীজুড়ে ‘খুব অস্বাস্থ্যকর’ বায়ু",https://www.prothomalo.com/bangladesh/environment/xfc0r6tmks,bangla,hybrid,9,,,,
q002,COVID-19 pandemic Bangladesh,768546_87a0eab0,"বছর জুড়ে ডেঙ্গুর প্রকোপ, শতকোটি টাকা ব্যয়েও কমেনি মশা",https://www.ittefaq.com.bd/768546/%E0%A6%AC%E0%A6%9B%E0%A6%B0-%E0%A6%9C%E0%A7%81%E0%A7%9C%E0%A7%87-%E0%A6%A1%E0%A7%87%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A7%81%E0%A6%B0-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%95%E0%A7%8B%E0%A6%AA-%E0%A6%B6%E0%A6%A4%E0%A6%95%E0%A7%8B%E0%A6%9F%E0%A6%BF-%E0%A6%9F%E0%A6%BE%E0%A6%95%E0%A6%BE-%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A7%9F%E0%A7%87%E0%A6%93-%E0%A6%95%E0%A6%AE%E0%A7%87%E0%A6%A8%E0%A6%BF,bangla,hybrid,10,,,,
q003,জলবায়ু পরিবর্তন,1218c68fcd3f7d74,"শীতকাল ছোট হচ্ছে, ৭০ বছর পর কেমন হবে",https://www.prothomalo.com/bangladesh/environment/sq04nmv8ck,bangla,bm25,1,,,,
q003,জলবায়ু পরিবর্তন,0970981004997808,বায়ুদূষণে বাংলাদেশে ভয়ংকর হচ্ছে ডেঙ্গু,https://www.prothomalo.com/bangladesh/hoy5hli9p5,bangla,bm25,2,,,,
q003,জলবায়ু পরিবর্তন,5acb99704cbb1c92,গ্রিনহাউস গ্যাসকে জনস্বাস্থ্যের জন্য বিপজ্জনক বিবেচনার ঘোষণা বাতিল করলেন ট্রাম্প,https://www.prothomalo.com/world/usa/9sg557cb3n,bangla,bm25,3,,,,
q003,জলবায়ু পরিবর্তন,1218c68fcd3f7d74,"শীতকাল ছোট হচ্ছে, ৭০ বছর পর কেমন হবে",https://www.prothomalo.com/bangladesh/environment/sq04nmv8ck,bangla,tfidf,1,,,,
q003,জলবায়ু পরিবর্তন,0970981004997808,বায়ুদূষণে বাংলাদেশে ভয়ংকর হচ্ছে ডেঙ্গু,https://www.prothomalo.com/bangladesh/hoy5hli9p5,bangla,tfidf,2,,,,
q003,জলবায়ু পরিবর্তন,5acb99704cbb1c92,গ্রিনহাউস গ্যাসকে জনস্বাস্থ্যের জন্য বিপজ্জনক বিবেচনার ঘোষণা বাতিল করলেন ট্রাম্প,https://www.prothomalo.com/world/usa/9sg557cb3n,bangla,tfidf,3,,,,
q003,জলবায়ু পরিবর্তন,2b69f8e0238925ff,"আবার শৈত্যপ্রবাহ ৩ জেলায়, রাজধানীতেও কমল তাপমাত্রা",https://www.prothomalo.com/bangladesh/environment/vka8bg7iwz,bangla,semantic,1,,,,
q003,জলবায়ু পরিবর্তন,dd01e0c26cbf5436,ভোটের দিন কোন বিভাগে আবহাওয়া কেমন থাকবে,https://www.prothomalo.com/bangladesh/environment/1donut6kbf,bangla,semantic,2,,,,
q003,জলবায়ু পরিবর্তন,1218c68fcd3f7d74,"শীতকাল ছোট হচ্ছে, ৭০ বছর পর কেমন হবে",https://www.prothomalo.com/bangladesh/environment/sq04nmv8ck,bangla,semantic,3,,,,
q003,জলবায়ু পরিবর্তন,430931_5d0a83f7,"সপ্তাহ জুড়ে বাড়বে গরম, আবহাওয়া থাকবে শুষ্ক",https://www.dhakapost.com/national/430931,bangla,semantic,4,,,,
q003,জলবায়ু পরিবর্তন,5acb99704cbb1c92,গ্রিনহাউস গ্যাসকে জনস্বাস্থ্যের জন্য বিপজ্জনক বিবেচনার ঘোষণা বাতিল করলেন ট্রাম্প,https://www.prothomalo.com/world/usa/9sg557cb3n,bangla,semantic,5,,,,
q003,জলবায়ু পরিবর্তন,430891_2e751012,গণভোটে ‘হ্যাঁ’ জয় : কী কী পরিবর্তন আসছে,https://www.dhakapost.com/national/430891,bangla,semantic,6,,,,
q003,জলবায়ু পরিবর্তন,c769e3251090f567,ছুটির দিনের সকালেও বায়ুদূষণে বিশ্বে দ্বিতীয় ঢাকা,https://www.prothomalo.com/bangladesh/environment/in117jen3u,bangla,semantic,7,,,,
q003,জলবায়ু পরিবর্তন,9ed1ef7ae8e5c79f,পরিবেশবান্ধব নির্বাচনী প্রচারের চেষ্টা আটকে যাচ্ছে প্লাস্টিকে,https://www.prothomalo.com/politics/xed0ztj237,bangla,semantic,8,,,,
q003,জলবায়ু পরিবর্তন,5559c22ca4e937c3,"বায়ুদূষণে বিশ্বের ১১৯ শহরের মধ্যে দ্বিতীয় ঢাকা, পাশের শহরটির দূষণ আরও বেশি",https://www.prothomalo.com/bangladesh/environment/oxchbkoz4a,bangla,semantic,9,,,,
